Source,Target
1192,1340
1192,1177
1192,536
1192,1758
1192,1085
1192,951
1192,1671
1192,337
1192,1636
1192,1192
1192,1631
1192,134
1231,1466
1231,1337
1231,940
1231,1862
1231,59
88,761
88,630
88,1377
88,2006
234,621
234,1114
234,1941
234,215
234,1052
234,1345
234,234
234,1001
812,837
812,630
812,1698
812,1107
812,85
812,1085
812,330
812,92
812,1829
812,1021
812,1451
812,337
812,1980
251,1412
251,1540
251,1605
251,1937
251,647
251,324
251,217
251,1500
251,126
251,1120
251,242
251,1780
251,636
251,951
251,271
251,604
251,1190
251,2012
251,1930
251,1766
251,477
251,1460
251,1201
251,1768
2030,395
2030,785
2030,1519
2030,482
2030,918
2030,331
2030,252
2030,731
2030,1536
2030,1590
2030,14
2030,2030
2030,1569
1569,265
1569,395
1569,102
1569,873
1569,1267
1569,1519
1569,482
1569,1337
1569,27
1569,918
1569,1455
1569,524
1569,940
1569,230
1569,331
1569,1862
1569,252
1569,731
1569,1685
1569,1786
1569,1536
1569,1590
1569,1910
1569,14
1569,1569
1569,22
1569,773
865,837
865,122
865,1541
865,11
865,677
865,1647
865,1682
865,140
865,1046
865,1698
865,1302
865,704
865,94
865,1240
865,1107
865,1870
865,224
865,1085
865,686
865,330
865,1402
865,1500
865,1600
865,672
865,303
865,1790
865,2041
865,1093
865,1308
865,735
865,1461
865,247
865,1376
865,19
865,2032
865,1004
865,1681
865,951
865,1671
865,70
865,1484
865,1465
865,337
865,865
865,926
865,529
865,681
865,62
865,295
865,477
865,1460
865,542
865,1155
1001,1092
1001,621
1001,359
1001,1114
1001,1573
1001,1941
1001,390
1001,215
1001,1194
1001,1052
1001,1345
1001,13
1001,1414
1001,1636
1001,234
1001,1001
1001,328
843,114
843,1858
843,1234
843,1750
843,1638
843,147
843,800
843,1860
843,1435
843,870
843,843
843,62
843,1456
843,814
1610,1849
1610,676
1610,451
1610,1271
1610,1107
1095,1682
1095,1823
1095,1240
1095,238
1095,861
1095,1532
1095,1325
1095,897
1095,1435
1095,247
1095,951
1095,1668
1095,1465
1095,1433
1095,337
1095,111
1095,926
1095,253
1095,1930
1095,542
899,395
899,102
899,77
899,252
1462,1323
1434,837
1434,85
546,974
546,1995
546,1147
546,114
546,1233
1967,1588
1967,1347
387,1693
387,395
387,102
387,1166
387,397
387,129
1017,2004
1017,1749
1017,62
1017,1418
1017,581
175,1693
175,395
175,102
175,1166
1745,363
1745,452
1745,140
1745,1100
1745,1431
1745,1269
1745,283
1736,837
1736,60
1736,1011
1736,472
1736,1863
1736,1913
1736,85
1736,1479
1736,1992
1736,445
1736,1297
1736,1135
1213,1085
1213,59
1213,1712
1213,1345
1213,1772
1213,1151
1213,1139
1720,1996
1720,696
1720,837
1720,1011
1720,1858
1720,173
1720,534
1720,368
1720,1863
1720,1107
1720,127
1720,15
1720,416
1720,1158
1720,159
1720,335
1720,1809
1720,1992
1720,1461
1720,971
1720,445
1720,182
1720,425
1720,781
1720,62
1720,1607
1720,1456
1720,1932
1443,1085
1443,1345
926,1550
926,1180
926,1734
926,837
926,1621
926,1219
926,1089
926,1541
926,451
926,1808
926,1714
926,1858
926,1424
926,1497
926,1588
926,344
926,1698
926,458
926,1347
926,547
926,1138
926,47
926,155
926,94
926,610
926,1107
926,1870
926,147
926,1085
926,330
926,274
926,1533
926,861
926,1600
926,59
926,1265
926,1325
926,1790
926,897
926,1451
926,1390
926,1148
926,1093
926,1172
926,1308
926,2028
926,1364
926,247
926,19
926,1681
926,951
926,1840
926,70
926,1997
926,1465
926,1669
926,337
926,1636
926,522
926,953
926,1095
926,926
926,62
926,402
926,1611
926,253
926,491
926,477
