Label, Id
Cassana Estermont,0
Merchant captain,1
Fennesz,2
Musician 5 (The Door),3
Valryon,4
Jaremy Mallister,5
Gold cloaks,6
Sword fighting wight,7
Unella,8
Monica Velaryon,9
Joseth Umber,10
Brandon Stark (the Breaker),11
Jesse Magee,12
Selyse Baratheon,13
Ryon Forrester,14
Kevan Lannister,15
White Walker 1 (Winter is Coming),16
Eunuchs,17
Red Priestess (No One),18
Rickard Karstark,19
Samwell,20
Aemond Targaryen,21
Thermund,22
Jeffory Mallister,23
Old woman prisoner,24
Rognar II Greyiron,25
Daenys Targaryen,26
Erik,27
Dothraki widow 2,28
Baelor Targaryen (son of Daeron II),29
Spice King,30
High Septon (After the riot of King's Landing),31
Gabrielle Dempsey,32
The Faith of the Seven,33
Daena Targaryen,34
Mole's Town madam,35
Aegon V,36
Donnel Hill,37
Selyse Florent,38
Lannister soldier (No One),39
Army of the Dead,40
House Strong,41
Freys,42
Gareth Umber,43
Septa Unella,44
Iona Clarke,45
Crossroads Inn patron 2,46
Grey King,47
Braavosi captain,48
Dothraki crone,49
Dolorous Edd,50
Goldcloak (The Wolf and the Lion),51
Marya Seaworth,52
Gerold Hightower,53
Sexuality,54
Strong Sam Stone,55
Night's King,56
Haro,57
Cooper,58
Mance Rayder,59
Beric Dondarrion,60
Maester Aemon,61
Tyrion Lannister,62
Ser Loras Tyrell,63
House Blackfyre,64
Valyrian slave,65
Ilyn Payne,66
Winston Davis,67
Todder,68
Prisoner,69
Rodrik Cassel,70
Eyrie Guard,71
Willa,72
Fruit vendor,73
Niko,74
Willem Frey,75
Wildings,76
Bezzaq,77
Usurper,78
Murmison,79
Qartheen Woman,80
Gold Cloak 1 (Lord Snow),81
Bolton soldier (Walk of Punishment),82
Sandor,83
Nagga,84
Jaqen H'ghar,85
Dorian Hightower's second wife,86
House Lannister,87
Symon Hollard,88
Ash,89
Tom (coal boy),90
Lord Eddard Stark,91
Melisandre,92
Brotherhood member,93
Hodor,94
Blackmont (Lord),95
Luke,96
Isabelle Jones,97
Ashara Dayne,98
Wars of Conquest,99
Grag,100
Otto Hightower,101
Beskha,102
Lem,103
Meera Reed,104
Three-eyed raven,105
Lord Redwyne,106
Dwarf 5,107
Meria Martell,108
Stark soldier 2,109
Sailor (The Dance of Dragons),110
Steelshanks,111
Aerion Brightflame,112
Maester Cressen,113
Bronn,114
Knights of the Vale,115
Riverlands traveller,116
Actress playing Margaery Tyrell,117
The Red,118
Durran,119
Clare Louise Connolly,120
Nymeria (direwolf),121
Benjen Stark,122
Red Priestess,123
Lynesse Mormont,124
Black Walder,125
Malcolm,126
Joanna Lannister,127
Aegon Targaryen (Son of Rhaegar),128
Harys,129
Dwarf Hunter 2,130
Lyanna Mormont,131
Natasha Loring,132
Myrcella,133
Yara Greyjoy,134
Jazzy de Lisser,135
Raewyn Lippert,136
Warg King,137
Mero,138
Elia Targaryen,139
Cregan Stark,140
Arthur (little bird),141
Knight of the Laughing Tree,142
Tourney Herald,143
Walton,144
Laws of the Seven Kingdoms,145
Dorna,146
Joffrey Baratheon,147
Robert's Rebellion,148
White Walker 2 (Winter is Coming),149
Skinchanger,150
Dom,151
Gold Cloak 2 (Eastwatch),152
Cats,153
Daenerys Targaryen's invasion of Westeros,154
Harrag,155
Gilly's baby,156
Aggo,157
Matthar,158
Lyman Lannister,159
A King falls to Darkness,160
Arry,161
Robert I Baratheon,162
Bastard's Girls,163
Jon Snow and Daenerys Targaryen,164
Argilac,165
Hothor Umber,166
Faith of the seven,167
Great Master 1 (Breaker of Chains),168
Zalla,169
Theon,170
War of Conquest,171
Vulture King,172
Cynda Lannister,173
Craster's wife 2 (Oathkeeper),174
The Scourge,175
Malakho,176
Jon Connington,177
Rat Cook,178
Tommy,179
White Rat,180
Meereenese Champion,181
Stafford Lannister,182
House Poole,183
Sellsword,184
Aenys Targaryen,185
Cupbearer,186
Oliver Stockwell,187
Hugh (Telltale),188
Minisa Tully,189
Loreza Sand,190
Law of the Seven Kingdoms,191
Steffon (turnip cart driver),192
Lucan Umber,193
Little Bird (The Mountain and the Viper),194
Baratheon soldier,195
Malko,196
Dancer,197
House Tyrell (Histories & Lore),198
Commard Karstark,199
Missandei and Grey Worm,200
Unsullied 1 (Valar Dohaeris),201
Stark Officer 1,202
Guest right,203
